Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 0 took 42.359128952, cost = 0.0626047700644, error = 0.798250771718
Epoch 64 took 41.9313549995, cost = 0.0189550034702, error = 0.228134646479
Epoch 65 took 41.9364891052, cost = 0.019205769524, error = 0.231662501837
Epoch 66 took 41.9475059509, cost = 0.0189628247172, error = 0.230045568132
Epoch 67 took 41.9366970062, cost = 0.018871018663, error = 0.229310598265
Epoch 68 took 41.9322299957, cost = 0.0193651448935, error = 0.233058944583
Epoch 69 took 41.9318990707, cost = 0.0193567425013, error = 0.229972071145
Epoch 70 took 41.9600801468, cost = 0.0196174997836, error = 0.22659120976
Epoch 71 took 41.9247040749, cost = 0.0192799847573, error = 0.224165809202
Epoch 72 took 41.9382629395, cost = 0.0191767625511, error = 0.218653535205
Epoch 73 took 41.9592549801, cost = 0.0188779905438, error = 0.22093194179
Epoch 74 took 41.9243569374, cost = 0.0194256827235, error = 0.226517712774
Epoch 75 took 41.9233510494, cost = 0.019315591082, error = 0.224900779068
Epoch 76 took 41.953305006, cost = 0.0197106078267, error = 0.22703219168
Epoch 77 took 41.9662890434, cost = 0.0198009703308, error = 0.228061149493
Epoch 78 took 41.9542341232, cost = 0.0201721396297, error = 0.228869616346
Epoch 79 took 41.9858138561, cost = 0.0202590376139, error = 0.229016610319
Epoch 80 took 42.0277171135, cost = 0.0197974424809, error = 0.230045568132
Epoch 81 took 42.0399880409, cost = 0.0195948053151, error = 0.224533294135
Epoch 82 took 42.0430250168, cost = 0.0184833761305, error = 0.219094517125
Epoch 83 took 42.0350170135, cost = 0.0189251191914, error = 0.22093194179
Epoch 84 took 42.0209949017, cost = 0.019024213776, error = 0.220343965897
Epoch 85 took 42.033853054, cost = 0.0195270366967, error = 0.223945318242
Epoch 86 took 42.0497369766, cost = 0.0197540465742, error = 0.226150227841
Epoch 87 took 42.0124359131, cost = 0.0193747058511, error = 0.220784947817
Epoch 88 took 42.0436761379, cost = 0.0189904551953, error = 0.218653535205
Epoch 89 took 42.0238440037, cost = 0.0195823367685, error = 0.227767161546
Epoch 90 took 42.0453839302, cost = 0.0187192093581, error = 0.219755990004
Epoch 91 took 42.0321438313, cost = 0.0190859399736, error = 0.224018815229
Epoch 92 took 42.0070488453, cost = 0.0190141219646, error = 0.222328384536
Epoch 93 took 41.9359629154, cost = 0.0186891928315, error = 0.217183595473
Epoch 94 took 41.9671759605, cost = 0.0189542230219, error = 0.218286050272
Epoch 95 took 41.9342498779, cost = 0.0196949522942, error = 0.225709245921
Epoch 96 took 41.9341320992, cost = 0.0196138154715, error = 0.221299426724
Epoch 97 took 41.9374558926, cost = 0.0202839914709, error = 0.227987652506
Epoch 98 took 41.9460229874, cost = 0.0195304471999, error = 0.220490959871
Epoch 99 took 41.9275431633, cost = 0.0195304229856, error = 0.22137292371
Epoch 100 took 41.9347171783, cost = 0.0197094418108, error = 0.218139056299
Epoch 101 took 41.9129219055, cost = 0.0216201171279, error = 0.236513302955
Epoch 102 took 41.9476568699, cost = 0.019530499354, error = 0.221225929737
Epoch 103 took 41.942606926, cost = 0.0188810247928, error = 0.220637953844
Epoch 104 took 41.9353480339, cost = 0.0202337745577, error = 0.226517712774
Epoch 105 took 41.9271099567, cost = 0.0197130274028, error = 0.224239306188
Epoch 106 took 41.9439849854, cost = 0.0193601362407, error = 0.22181390563
Epoch 107 took 41.9546380043, cost = 0.0186319500208, error = 0.215346170807
Epoch 108 took 41.9311709404, cost = 0.0203681588173, error = 0.230266059092
Epoch 109 took 41.9385697842, cost = 0.0194040983915, error = 0.218065559312
Epoch 110 took 41.9423201084, cost = 0.0199302956462, error = 0.224239306188
Epoch 111 took 41.9579029083, cost = 0.0193904899061, error = 0.219902983978
Epoch 112 took 41.944578886, cost = 0.0210511423647, error = 0.236807290901
Epoch 113 took 41.9583289623, cost = 0.0206098370254, error = 0.225268264001
Epoch 114 took 41.9418029785, cost = 0.0202189665288, error = 0.222107893576
Epoch 115 took 41.9599950314, cost = 0.0191723927855, error = 0.214464206968
Epoch 116 took 41.9467220306, cost = 0.0198322795331, error = 0.217918565339
Epoch 117 took 41.920265913, cost = 0.0203593969345, error = 0.222769366456
Epoch 118 took 41.9478909969, cost = 0.0203378200531, error = 0.219094517125
Epoch 119 took 41.93572402, cost = 0.0200200695544, error = 0.215787152727
Epoch 120 took 41.9159691334, cost = 0.0204084478319, error = 0.218874026165
Epoch 121 took 41.9377260208, cost = 0.0209155734628, error = 0.223063354402
Epoch 122 took 42.036221981, cost = 0.0204188581556, error = 0.219462002058
Epoch 123 took 42.0385370255, cost = 0.0208614580333, error = 0.22225488755
Epoch 124 took 42.0454471111, cost = 0.0207542460412, error = 0.22159341467
Epoch 125 took 42.0463302135, cost = 0.0207829046994, error = 0.22093194179
Epoch 126 took 42.0455138683, cost = 0.0193627271801, error = 0.223724827282
Epoch 127 took 42.0484061241, cost = 0.0203792285174, error = 0.226076730854
Epoch 128 took 42.0167648792, cost = 0.0218517482281, error = 0.240041158313
Epoch 129 took 42.0510017872, cost = 0.0204501431435, error = 0.223871821255
Epoch 130 took 42.0430469513, cost = 0.0207714717835, error = 0.231735998824
Epoch 131 took 42.0066239834, cost = 0.0200149565935, error = 0.224386300162
Epoch 132 took 41.9349520206, cost = 0.0202559214085, error = 0.216301631633
Epoch 133 took 41.9449739456, cost = 0.020988933742, error = 0.231735998824
Epoch 134 took 41.95084095, cost = 0.0193863231689, error = 0.225709245921
Epoch 135 took 41.9296870232, cost = 0.020319018513, error = 0.223724827282
Epoch 136 took 41.9346690178, cost = 0.0197792034596, error = 0.219315008085
Epoch 137 took 41.9404001236, cost = 0.0200334805995, error = 0.224974276055
Epoch 138 took 41.9486250877, cost = 0.0198803432286, error = 0.230707041011
Epoch 139 took 41.9551570415, cost = 0.019931036979, error = 0.227326179627
Epoch 140 took 41.9615061283, cost = 0.019995059818, error = 0.227620167573
Epoch 141 took 41.9644589424, cost = 0.0196488648653, error = 0.220123474938
Epoch 142 took 41.9911050797, cost = 0.0195643026382, error = 0.222769366456
Epoch 143 took 41.9842550755, cost = 0.0200456790626, error = 0.223430839336
Epoch 144 took 41.9785599709, cost = 0.0198861863464, error = 0.219094517125
Epoch 145 took 41.9707241058, cost = 0.0197896007448, error = 0.225709245921
Epoch 146 took 41.9710018635, cost = 0.0200368817896, error = 0.222548875496
Epoch 147 took 41.9340538979, cost = 0.0198491308838, error = 0.220564456857
Epoch 148 took 41.9419169426, cost = 0.019431816414, error = 0.218653535205
Epoch 149 took 41.9692840576, cost = 0.019663432613, error = 0.217698074379
Epoch 150 took 42.0419840813, cost = 0.0196276251227, error = 0.215125679847
Epoch 151 took 42.0266971588, cost = 0.0190794076771, error = 0.211965309422
Epoch 152 took 42.0231420994, cost = 0.0192376002669, error = 0.217771571366
Epoch 153 took 42.0039560795, cost = 0.0201036017388, error = 0.222181390563
Epoch 154 took 42.011690855, cost = 0.020239315927, error = 0.222475378509
Epoch 155 took 42.0055780411, cost = 0.01887861453, error = 0.21071586065
Epoch 156 took 42.0076298714, cost = 0.0207694713026, error = 0.220858444804
Epoch 157 took 42.0120651722, cost = 0.0199672393501, error = 0.219021020138
Epoch 158 took 42.0256829262, cost = 0.0197605025023, error = 0.216301631633
Epoch 159 took 42.0211467743, cost = 0.0195368658751, error = 0.213582243128
Epoch 160 took 42.0026898384, cost = 0.0194655079395, error = 0.211303836543
Epoch 161 took 42.0131349564, cost = 0.0198330506682, error = 0.21637512862
Epoch 162 took 42.0313708782, cost = 0.0193088445812, error = 0.213288255182
Epoch 163 took 42.0306820869, cost = 0.0192853715271, error = 0.212626782302
Epoch 164 took 42.0027360916, cost = 0.0195452533662, error = 0.218359547259
Epoch 165 took 42.0083360672, cost = 0.0198797099292, error = 0.217551080406
Epoch 166 took 41.9322860241, cost = 0.0198116395622, error = 0.215419667794
Epoch 167 took 41.9211378098, cost = 0.019555721432, error = 0.211377333529
Epoch 168 took 41.9081728458, cost = 0.0196095760912, error = 0.213361752168
Epoch 169 took 41.9253468513, cost = 0.0202297903597, error = 0.218065559312
Epoch 170 took 41.9369690418, cost = 0.0201393794268, error = 0.218580038218
Epoch 171 took 41.9194259644, cost = 0.0198779180646, error = 0.215052182861
Epoch 172 took 41.9996840954, cost = 0.0203996002674, error = 0.211524327503
Epoch 173 took 42.0107271671, cost = 0.0206118207425, error = 0.214023225048
Epoch 174 took 42.0124781132, cost = 0.0208114217967, error = 0.220123474938
Epoch 175 took 41.9922819138, cost = 0.0209275241941, error = 0.217183595473
Epoch 176 took 42.0022640228, cost = 0.0205439329147, error = 0.218727032192
Epoch 177 took 42.0226681232, cost = 0.0201867818832, error = 0.21549316478
Epoch 178 took 42.0332551003, cost = 0.0199483521283, error = 0.209172423931
Epoch 179 took 42.006706953, cost = 0.0204154793173, error = 0.217477583419
Epoch 180 took 42.0023889542, cost = 0.0205822177231, error = 0.217257092459
Epoch 181 took 42.0140111446, cost = 0.0202936772257, error = 0.217110098486
Epoch 182 took 42.0182330608, cost = 0.0207215305418, error = 0.223357342349
Epoch 183 took 42.0308749676, cost = 0.0207177083939, error = 0.219462002058
Epoch 184 took 42.0021870136, cost = 0.020930333063, error = 0.225415257974
Epoch 185 took 41.9994390011, cost = 0.0208831187338, error = 0.223357342349
Epoch 186 took 41.9244801998, cost = 0.0209277532995, error = 0.220270468911
Epoch 187 took 41.9164030552, cost = 0.0208714921027, error = 0.219829486991
Epoch 188 took 41.9161360264, cost = 0.0206549651921, error = 0.219315008085
Epoch 189 took 41.9069490433, cost = 0.020823970437, error = 0.22137292371
Epoch 190 took 41.9088909626, cost = 0.0206836406142, error = 0.220858444804
Epoch 191 took 41.9199328423, cost = 0.0208627432585, error = 0.222916360429
Epoch 192 took 41.8950970173, cost = 0.0215763561428, error = 0.231735998824
Epoch 193 took 41.8971819878, cost = 0.0210481602699, error = 0.22093194179
Epoch 194 took 41.9506978989, cost = 0.0215046405792, error = 0.226297221814
Epoch 195 took 41.9073219299, cost = 0.0215213317424, error = 0.225635748934
Epoch 196 took 41.9100439548, cost = 0.0210791211575, error = 0.224312803175
Epoch 197 took 41.9219710827, cost = 0.0211588293314, error = 0.22137292371
Epoch 198 took 42.0030939579, cost = 0.021253619343, error = 0.224165809202
Epoch 199 took 42.0069358349, cost = 0.0211731363088, error = 0.223945318242
Epoch 200 took 42.0051820278, cost = 0.021230077371, error = 0.224165809202
Epoch 201 took 42.0103669167, cost = 0.0214778315276, error = 0.220858444804
Epoch 202 took 42.0222139359, cost = 0.0209073424339, error = 0.218065559312
Epoch 203 took 42.0021440983, cost = 0.0215534493327, error = 0.224827282081
Epoch 204 took 42.0273110867, cost = 0.0212960354984, error = 0.224606791122
Epoch 205 took 42.0253920555, cost = 0.0210735220462, error = 0.216669116566
Epoch 206 took 42.0105268955, cost = 0.0214620903134, error = 0.217771571366
Epoch 207 took 42.0149447918, cost = 0.0215835142881, error = 0.22703219168
Epoch 208 took 42.019149065, cost = 0.0214053355157, error = 0.227767161546
Epoch 209 took 41.9897911549, cost = 0.0211071204394, error = 0.222842863443
Epoch 210 took 41.9492080212, cost = 0.0212975721806, error = 0.224018815229
Epoch 211 took 42.0205640793, cost = 0.0211047045887, error = 0.217330589446
Epoch 212 took 42.0183858871, cost = 0.0212932545692, error = 0.217477583419
Epoch 213 took 42.0133831501, cost = 0.0214040353894, error = 0.217918565339
Epoch 214 took 42.0342700481, cost = 0.0222842525691, error = 0.224092312215
Epoch 215 took 42.00978899, cost = 0.0212883241475, error = 0.221666911657
Epoch 216 took 42.000505209, cost = 0.021091606468, error = 0.223651330295
Epoch 217 took 42.0138020515, cost = 0.0212631877512, error = 0.219094517125
Epoch 218 took 42.0236868858, cost = 0.0211458560079, error = 0.21049536969
Epoch 219 took 42.0142469406, cost = 0.0214742906392, error = 0.212700279289
Epoch 220 took 42.0413060188, cost = 0.0215990655124, error = 0.213141261208
Epoch 221 took 42.0114889145, cost = 0.0211536064744, error = 0.211377333529
Epoch 222 took 41.9148499966, cost = 0.0208347458392, error = 0.213288255182
Epoch 223 took 41.9146928787, cost = 0.0208422932774, error = 0.213214758195
Epoch 224 took 41.9040350914, cost = 0.0206600856036, error = 0.210642363663
Epoch 225 took 41.9078760147, cost = 0.0210913196206, error = 0.217624577392
Epoch 226 took 41.9265019894, cost = 0.0214685052633, error = 0.219021020138
Epoch 227 took 41.9110958576, cost = 0.0209921859205, error = 0.212773776275
Epoch 228 took 41.9276678562, cost = 0.0208057016134, error = 0.216742613553
Epoch 229 took 41.9034571648, cost = 0.021353604272, error = 0.219241511098
Epoch 230 took 41.9349629879, cost = 0.0218953490257, error = 0.219976480964
Epoch 231 took 41.9397418499, cost = 0.0218058358878, error = 0.222328384536
Epoch 232 took 42.0081191063, cost = 0.0222454741597, error = 0.2274731736
Epoch 233 took 42.0116388798, cost = 0.0225452519953, error = 0.227399676613
Epoch 234 took 42.0434961319, cost = 0.0224709361792, error = 0.226150227841
Epoch 235 took 42.0118870735, cost = 0.0226617883891, error = 0.231148022931
Epoch 236 took 41.9968450069, cost = 0.022509906441, error = 0.225415257974
Epoch 237 took 42.0091340542, cost = 0.022121746093, error = 0.224239306188
Epoch 238 took 42.0253069401, cost = 0.0223245304078, error = 0.224974276055
Epoch 239 took 42.011893034, cost = 0.0216983947903, error = 0.222916360429
Epoch 240 took 42.0001780987, cost = 0.0221778992563, error = 0.22659120976
Epoch 241 took 41.9939389229, cost = 0.0209682639688, error = 0.22137292371
Epoch 242 took 42.0483369827, cost = 0.0210578087717, error = 0.224753785095
Epoch 243 took 42.0133571625, cost = 0.0216483548284, error = 0.225562251948
Epoch 244 took 42.0126318932, cost = 0.0216293204576, error = 0.224092312215
Epoch 245 took 42.015157938, cost = 0.0219583064318, error = 0.227179185653
Epoch 246 took 42.0174160004, cost = 0.0220702309161, error = 0.224827282081
Epoch 247 took 41.9979510307, cost = 0.0223316960037, error = 0.22681170072
Epoch 248 took 42.0105690956, cost = 0.0223987698555, error = 0.22703219168
Epoch 249 took 42.0184409618, cost = 0.022314613685, error = 0.225194767015
Epoch 250 took 42.0295910835, cost = 0.0224706474692, error = 0.22725268264
Epoch 251 took 42.0222299099, cost = 0.0221381261945, error = 0.224900779068
Epoch 252 took 42.0086629391, cost = 0.0217550285161, error = 0.224900779068
Epoch 253 took 42.0279669762, cost = 0.0220391005278, error = 0.225856239894
Epoch 254 took 42.0243558884, cost = 0.0221387911588, error = 0.225562251948
Epoch 255 took 42.0031409264, cost = 0.0224807914346, error = 0.22703219168
Epoch 256 took 42.0288600922, cost = 0.0221928004175, error = 0.228281640453
Epoch 257 took 41.9631938934, cost = 0.0225429665297, error = 0.229972071145
Epoch 258 took 41.9353518486, cost = 0.0216497387737, error = 0.221666911657
Epoch 259 took 41.9380209446, cost = 0.0213743299246, error = 0.220417462884
Epoch 260 took 41.8958890438, cost = 0.0219056271017, error = 0.222695869469
Epoch 261 took 41.943595171, cost = 0.0215387046337, error = 0.218874026165
Epoch 262 took 41.9238710403, cost = 0.0219186898321, error = 0.221666911657
Epoch 263 took 41.91751194, cost = 0.0216441303492, error = 0.21637512862
Epoch 264 took 41.915102005, cost = 0.0220280569047, error = 0.220123474938
Epoch 265 took 41.921077013, cost = 0.0218777079135, error = 0.219168014111
Epoch 266 took 41.9260630608, cost = 0.0229132808745, error = 0.230633544025
Epoch 267 took 41.9054591656, cost = 0.0216613151133, error = 0.214170219021
Epoch 268 took 41.9146001339, cost = 0.0209627561271, error = 0.211377333529
Epoch 269 took 41.9154751301, cost = 0.0213728249073, error = 0.212553285315
Epoch 270 took 41.9313709736, cost = 0.0219386164099, error = 0.214611200941
Epoch 271 took 41.9133279324, cost = 0.0216368157417, error = 0.213141261208
Epoch 272 took 41.9127109051, cost = 0.0241372585297, error = 0.230486550051
Epoch 273 took 41.909402132, cost = 0.02089048177, error = 0.206159047479
Epoch 274 took 41.9195129871, cost = 0.0224941894412, error = 0.223945318242
Epoch 275 took 41.9368219376, cost = 0.0221642237157, error = 0.223871821255
Epoch 276 took 41.9237620831, cost = 0.0230208933353, error = 0.229825077172
Epoch 277 took 41.9463291168, cost = 0.0219852775335, error = 0.221666911657
Epoch 278 took 42.0264670849, cost = 0.021127903834, error = 0.2159341467
Epoch 279 took 42.0248398781, cost = 0.021939881146, error = 0.21637512862
Epoch 280 took 42.0339169502, cost = 0.0221362635493, error = 0.217771571366
Epoch 281 took 42.0393149853, cost = 0.0220150854439, error = 0.219168014111
Epoch 282 took 42.0387289524, cost = 0.02154664509, error = 0.217551080406
Epoch 283 took 42.0457611084, cost = 0.021866871044, error = 0.222181390563
Epoch 284 took 42.0230939388, cost = 0.0225176475942, error = 0.222622372483
Epoch 285 took 42.0280499458, cost = 0.0230664089322, error = 0.226738203734
Epoch 286 took 42.0448009968, cost = 0.0225949641317, error = 0.225121270028
Epoch 287 took 42.0125720501, cost = 0.0224688593298, error = 0.218065559312
Epoch 288 took 42.0161521435, cost = 0.0286488160491, error = 0.277377627517
Epoch 289 took 41.9144408703, cost = 0.0234086029232, error = 0.240996619139
Epoch 290 took 41.9274070263, cost = 0.0232790987939, error = 0.229604586212
Epoch 291 took 41.9120380878, cost = 0.0223970264196, error = 0.229604586212
Epoch 292 took 41.9196639061, cost = 0.021484605968, error = 0.217110098486
Epoch 293 took 41.9119119644, cost = 0.0214695166796, error = 0.21659561958
Epoch 294 took 41.9436469078, cost = 0.0214505940676, error = 0.22159341467
Epoch 295 took 41.9394578934, cost = 0.0207078158855, error = 0.209319417904
Epoch 296 took 41.9311308861, cost = 0.0213994961232, error = 0.216963104513
Epoch 297 took 41.938395977, cost = 0.0211795344949, error = 0.215419667794
Epoch 298 took 41.9237430096, cost = 0.0211543571204, error = 0.213288255182
Epoch 299 took 41.9469180107, cost = 0.0205963011831, error = 0.207702484198
Epoch 300 took 41.9129481316, cost = 0.0205586962402, error = 0.20939291489
Epoch 301 took 41.9133639336, cost = 0.0213522426784, error = 0.218653535205
Epoch 302 took 41.9376769066, cost = 0.0216312557459, error = 0.216963104513
Epoch 303 took 41.9179821014, cost = 0.0210292078555, error = 0.213949728061
Epoch 304 took 41.9098799229, cost = 0.0210090950131, error = 0.211965309422
Epoch 305 took 41.9266138077, cost = 0.0216683596373, error = 0.217183595473
Epoch 306 took 41.9514160156, cost = 0.0211295355111, error = 0.213655740115
Epoch 307 took 41.9315960407, cost = 0.0209031756967, error = 0.211083345583
Epoch 308 took 42.0926101208, cost = 0.020545117557, error = 0.205938556519
Epoch 309 took 42.0055401325, cost = 0.0206134319305, error = 0.203292665001
Epoch 310 took 41.9488780499, cost = 0.0210539251566, error = 0.212259297369
Epoch 311 took 41.9236440659, cost = 0.0214807316661, error = 0.214831691901
Epoch 312 took 41.9611749649, cost = 0.0214782170951, error = 0.212994267235
Epoch 313 took 41.9932079315, cost = 0.0216585826129, error = 0.214170219021
Epoch 314 took 42.0254189968, cost = 0.0216101016849, error = 0.215125679847
Epoch 315 took 42.0149111748, cost = 0.0215373635292, error = 0.215419667794
Epoch 316 took 41.9954900742, cost = 0.0217253323644, error = 0.214684697927
Epoch 317 took 42.0222651958, cost = 0.021314015612, error = 0.212553285315
Epoch 318 took 42.0223510265, cost = 0.0214278250933, error = 0.211597824489
Epoch 319 took 41.9957609177, cost = 0.0216257050633, error = 0.211083345583
Epoch 320 took 42.0175120831, cost = 0.0216252282262, error = 0.211009848596
Epoch 321 took 41.9961800575, cost = 0.0214454587549, error = 0.211671321476
Epoch 322 took 42.0222539902, cost = 0.0219047553837, error = 0.215566661767
Epoch 323 took 42.0294950008, cost = 0.0213888753206, error = 0.210127884757
Epoch 324 took 42.0002331734, cost = 0.021895647049, error = 0.213655740115
Epoch 325 took 41.9988901615, cost = 0.0219938997179, error = 0.214905188887
Epoch 326 took 42.0226049423, cost = 0.0220925435424, error = 0.213508746141
Epoch 327 took 42.0209920406, cost = 0.0219797976315, error = 0.214464206968
Epoch 328 took 41.9935758114, cost = 0.0220057442784, error = 0.21615463766
Epoch 329 took 42.0000379086, cost = 0.0218339916319, error = 0.213141261208
Epoch 330 took 42.0151798725, cost = 0.0216320957989, error = 0.209760399824
Epoch 331 took 42.0232460499, cost = 0.0214319825172, error = 0.208363957078
Epoch 332 took 42.0075600147, cost = 0.0214705951512, error = 0.21071586065
Epoch 333 took 42.0199301243, cost = 0.0218541715294, error = 0.211524327503
Epoch 334 took 42.024312973, cost = 0.0218621846288, error = 0.208878435984
Epoch 335 took 41.9841988087, cost = 0.022050075233, error = 0.213067764222
Epoch 336 took 41.9196379185, cost = 0.0222041811794, error = 0.212920770248
Epoch 337 took 41.925481081, cost = 0.0219262819737, error = 0.20961340585
Epoch 338 took 41.9396901131, cost = 0.022107694298, error = 0.213288255182
Epoch 339 took 41.9095978737, cost = 0.0227946657687, error = 0.219608996031
Epoch 340 took 41.9031908512, cost = 0.0227950625122, error = 0.218800529178
Epoch 341 took 41.9246690273, cost = 0.0222657471895, error = 0.21571365574
Epoch 342 took 41.945182085, cost = 0.0225130748004, error = 0.219535499045
Epoch 343 took 41.9268269539, cost = 0.0220638103783, error = 0.213949728061
Epoch 344 took 41.915749073, cost = 0.0220297276974, error = 0.214978685874
Epoch 345 took 41.9192090034, cost = 0.0225186217576, error = 0.217918565339
Epoch 346 took 41.9625859261, cost = 0.0225054975599, error = 0.214831691901
Epoch 347 took 41.9343140125, cost = 0.0221097860485, error = 0.212332794355
Epoch 348 took 41.9175028801, cost = 0.0221605189145, error = 0.212038806409
Epoch 349 took 41.9110050201, cost = 0.0224049445242, error = 0.215419667794
Epoch 350 took 41.9204568863, cost = 0.0220688600093, error = 0.214023225048
Epoch 351 took 41.9185228348, cost = 0.0221249368042, error = 0.213214758195
Epoch 352 took 41.9115109444, cost = 0.0221137814224, error = 0.214023225048
Epoch 353 took 41.9380049706, cost = 0.0219789743423, error = 0.209098926944
Epoch 354 took 41.9495279789, cost = 0.022259388119, error = 0.212332794355
Epoch 355 took 41.9721550941, cost = 0.0223230719566, error = 0.209907393797
Epoch 356 took 42.028701067, cost = 0.0220290236175, error = 0.209172423931
Epoch 357 took 42.0462670326, cost = 0.0219225976616, error = 0.21005438777
Epoch 358 took 42.0257508755, cost = 0.02263591066, error = 0.21527267382
Epoch 359 took 42.0243988037, cost = 0.0228350516409, error = 0.218212553285
Epoch 360 took 42.0167720318, cost = 0.0231106951833, error = 0.220858444804
Epoch 361 took 42.0193989277, cost = 0.0230887681246, error = 0.220196971924
Epoch 362 took 42.0204081535, cost = 0.0230605322868, error = 0.214831691901
Epoch 363 took 41.980022192, cost = 0.0227016620338, error = 0.214684697927
Epoch 364 took 41.9061808586, cost = 0.0229385811836, error = 0.214096722034
Epoch 365 took 41.9218020439, cost = 0.0227542258799, error = 0.217551080406
Epoch 366 took 41.9462440014, cost = 0.0230108946562, error = 0.21659561958
Epoch 367 took 41.9268779755, cost = 0.0230483189225, error = 0.21549316478
