Started in hybrid online/batch training mode.
Mini-batches (50 sequences each) will be shuffled during training.
Using input noise with a standard deviation of 0.6.
The trained network will be written to 'trained_network.jsn'.
Validation error will be calculated every 1 epochs.
Training will be stopped after 100 epochs or if there is no new lowest validation error within 20 epochs.
Autosave after EVERY EPOCH enabled.
Utilizing the GPU for computations with 50 sequences in parallel.
Normal distribution with mean=0 and sigma=0.1. Random seed: 1467336830

Using device #0 (GeForce GTX 780 Ti)
Reading network from 'normal.jsn'... done.

Loading training set '../data/train_1_speaker.nc' ...
using cache file: /tmp/4dd6-5f44-0dd6-3fec
... done.
Loaded fraction:  100%
Sequences:        1000
Sequence lengths: 113..216
Total timesteps:  148668

Loading validation set '../data/val_1_speaker.nc' ...
using cache file: /tmp/eefe-c536-a271-1cb9
... done.
Loaded fraction:  100%
Sequences:        102
Sequence lengths: 113..152
Total timesteps:  13878

Creating the neural network... done.
Layers:
(0) input [size: 39]
(1) blstm [size: 156, bias: 1.0, weights: 74100]
(2) blstm [size: 300, bias: 1.0, weights: 369300]
(3) blstm [size: 102, bias: 1.0, weights: 143922]
(4) softmax [size: 51, bias: 1.0, weights: 5253]
(5) multiclass_classification [size: 51]
Total weights: 592575


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       100
Max epochs until new best: 20
Validation error every:    1
Test error every:          1
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best 
    36 |     32.0 |  5.96%    29.278 | 21.19%   106.690 |                  |  no    
    37 |     32.0 |  5.80%    28.344 | 21.31%   106.291 |                  |  no    
    38 |     32.0 |  5.42%    27.219 | 20.30%   100.538 |                  |  no    
    39 |     32.0 |  5.43%    26.701 | 20.26%    99.842 |                  |  yes   
    40 |     32.0 |  5.20%    25.554 | 21.42%   106.843 |                  |  no    
    41 |     32.0 |  5.18%    24.916 | 20.56%   100.583 |                  |  no    
    42 |     32.0 |  5.09%    24.691 | 20.79%   105.082 |                  |  no    
    43 |     32.0 |  4.71%    22.676 | 20.95%   109.685 |                  |  no    
    44 |     32.0 |  4.76%    23.230 | 18.97%    95.191 |                  |  yes   
    45 |     32.0 |  4.47%    21.185 | 21.12%   106.749 |                  |  no    
    46 |     32.0 |  4.46%    21.868 | 20.98%   108.744 |                  |  no    
    47 |     32.0 |  4.39%    20.562 | 20.61%   107.204 |                  |  no    
    48 |     32.0 |  4.16%    19.679 | 21.96%   113.473 |                  |  no    
    49 |     32.0 |  3.90%    18.747 | 20.51%   105.367 |                  |  no    
    50 |     32.0 |  3.96%    18.755 | 19.92%    99.167 |                  |  no    
    51 |     32.0 |  3.63%    17.209 | 20.00%   104.860 |                  |  no    
    52 |     32.1 |  3.76%    18.370 | 19.70%    99.816 |                  |  no    
    53 |     32.0 |  3.67%    17.758 | 20.36%   107.115 |                  |  no    
    54 |     32.1 |  3.68%    17.302 | 19.25%    99.990 |                  |  no    
    55 |     32.0 |  3.45%    16.182 | 19.31%   100.684 |                  |  no    
    56 |     32.0 |  3.34%    15.947 | 18.48%    97.406 |                  |  no    
    57 |     32.0 |  3.19%    14.871 | 20.09%   105.873 |                  |  no    
    58 |     32.0 |  3.11%    14.608 | 19.12%   100.423 |                  |  no    
    59 |     32.0 |  3.11%    14.605 | 21.34%   111.782 |                  |  no    
    60 |     32.0 |  3.01%    14.054 | 20.11%   106.848 |                  |  no    
    61 |     32.0 |  2.92%    13.750 | 19.37%   100.028 |                  |  no    
    62 |     32.0 |  2.87%    13.705 | 19.23%   104.897 |                  |  no    
    63 |     32.0 |  2.83%    13.374 | 20.82%   114.058 |                  |  no    
    64 |     32.0 |  2.79%    13.091 | 19.33%   104.529 |                  |  no    

No new lowest error since 20 epochs. Training stopped.
Lowest validation error: 95.190697

Storing the trained network in 'trained_network.jsn'... done.
Removing cache file(s) ...
